what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366751061918
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366751062233
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366751066132
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366751066279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1366751100887
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1366751103418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751112907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751146022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1366751159800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366751161539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751167983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751178206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751257785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1366751283201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366751285389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751294377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751295781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751297324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751325869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1366751367413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366751369443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751375946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751377499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751406475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751415697
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751417068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751433758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366751444815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751452616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751458600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751484427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751485791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751492127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751522212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751523200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751530058
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366751532745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1366751535597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751535985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751545524
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366751546587
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366751557054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1366751558197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751559815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751622650
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366751623598
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366751627070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1366751627755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1366751628518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366751629024
